"Kod";"Nazwa";"ogółem;ogółem;2010;[szt.]";"ogółem;ogółem;2011;[szt.]";"ogółem;ogółem;2012;[szt.]";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";"ogółem;ogółem;2024;[szt.]";
0000000;"POLSKA";103459;106900;113913;130140;130481;149909;164314;180071;203603;208736;199318;244672;225550;242580;255331;
0200000;"DOLNOŚLĄSKIE";14390;14136;14859;17811;16431;18523;21828;23240;24834;25774;20386;33606;26707;28101;28852;
0201000;"Powiat bolesławiecki";172;119;150;229;117;310;559;581;589;560;420;609;571;500;608;
0202000;"Powiat dzierżoniowski";310;281;250;270;234;330;315;325;414;539;549;724;567;514;606;
0203000;"Powiat głogowski";353;355;381;456;438;391;507;498;578;501;486;760;471;525;494;
0204000;"Powiat górowski";8;5;5;0;3;13;6;7;31;54;77;90;76;79;98;
0205000;"Powiat jaworski";49;91;85;85;73;89;119;138;136;126;159;201;180;225;186;
0206000;"Powiat karkonoski";219;187;179;216;253;333;181;209;215;182;430;492;687;582;430;
0207000;"Powiat kamiennogórski";70;75;84;87;92;125;116;128;153;161;145;148;155;187;217;
0208000;"Powiat kłodzki";440;445;420;491;514;493;464;600;710;836;814;958;828;697;741;
0209000;"Powiat legnicki";76;63;86;68;74;95;104;98;116;101;111;197;195;233;251;
0210000;"Powiat lubański";120;136;126;127;180;163;185;281;250;294;240;299;469;279;299;
0211000;"Powiat lubiński";420;405;520;533;525;453;592;645;761;851;810;972;726;937;761;
0212000;"Powiat lwówecki";83;88;76;69;71;44;74;112;142;151;141;154;93;105;132;
0213000;"Powiat milicki";90;47;126;70;61;82;114;80;90;94;172;137;165;219;120;
0214000;"Powiat oleśnicki";346;388;285;284;320;273;372;445;497;504;607;621;472;669;757;
0215000;"Powiat oławski";59;240;193;328;286;278;347;374;291;231;454;673;674;487;505;
0216000;"Powiat polkowicki";225;225;195;153;204;205;186;216;203;339;242;339;289;263;304;
0217000;"Powiat strzeliński";118;89;103;98;69;113;128;124;170;171;137;144;196;155;169;
0218000;"Powiat średzki";90;62;113;114;67;81;80;130;200;278;263;347;248;394;657;
0219000;"Powiat świdnicki";727;614;906;543;636;764;851;861;1047;1148;1022;1250;1024;1205;1094;
0220000;"Powiat trzebnicki";129;113;284;235;261;259;289;321;346;287;410;536;474;344;397;
0221000;"Powiat wałbrzyski";896;791;635;192;213;234;243;315;316;411;386;488;350;368;404;
0222000;"Powiat wołowski";332;248;220;283;219;216;299;372;381;282;384;356;227;370;335;
0223000;"Powiat wrocławski";189;443;776;859;1169;901;1104;1142;1352;1832;1894;2402;1541;2143;2433;
0224000;"Powiat ząbkowicki";140;100;95;122;96;101;157;203;181;232;272;340;252;216;242;
0225000;"Powiat zgorzelecki";4;6;24;30;20;33;102;387;371;455;368;415;418;468;464;
0226000;"Powiat złotoryjski";130;114;99;99;104;88;119;141;147;167;153;190;177;187;157;
0261000;"Powiat m. Jelenia Góra";362;573;629;504;574;676;829;993;855;932;784;1172;882;714;908;
0262000;"Powiat m. Legnica";556;528;562;523;545;575;654;784;1041;963;917;1132;851;1059;987;
0264000;"Powiat m. Wrocław";7677;7305;7252;10251;8441;10190;12143;12045;12425;12250;6762;16380;12755;13104;13194;
0265000;"Powiat m. Wałbrzych od 2013";;;;490;572;615;589;685;826;842;777;1080;694;873;902;
0400000;"KUJAWSKO-POMORSKIE";4454;5247;5629;6095;6056;6616;6491;8479;9493;9362;8346;10639;9495;10507;11247;
0401000;"Powiat aleksandrowski";95;81;70;123;99;96;172;192;170;214;165;259;182;175;234;
0402000;"Powiat brodnicki";192;162;152;149;191;274;284;333;462;376;304;402;302;277;342;
0403000;"Powiat bydgoski";56;84;115;119;122;216;142;204;269;260;195;326;488;393;445;
0404000;"Powiat chełmiński";72;89;80;61;53;100;120;132;125;141;124;168;110;126;136;
0405000;"Powiat golubsko-dobrzyński";69;51;53;54;72;72;54;132;76;82;70;111;91;250;172;
0406000;"Powiat grudziądzki";15;9;16;10;20;31;34;55;47;59;66;76;84;71;62;
0407000;"Powiat inowrocławski";418;430;535;523;526;622;542;710;651;689;633;845;587;751;299;
0408000;"Powiat lipnowski";33;25;22;41;44;51;60;49;35;83;68;72;71;102;116;
0409000;"Powiat mogileński";30;40;42;54;45;58;55;57;79;86;90;65;145;146;100;
0410000;"Powiat nakielski";116;163;131;126;185;128;163;207;213;235;236;229;208;265;271;
0411000;"Powiat radziejowski";39;53;56;45;41;21;36;54;81;54;30;48;36;49;96;
0412000;"Powiat rypiński";36;96;59;52;66;55;63;34;41;63;68;128;153;83;183;
0413000;"Powiat sępoleński";58;51;44;51;79;55;78;60;63;66;81;98;111;94;113;
0414000;"Powiat świecki";182;152;152;164;163;203;148;183;216;183;257;349;385;465;306;
0415000;"Powiat toruński";71;59;114;113;118;127;143;190;195;253;215;289;196;239;202;
0416000;"Powiat tucholski";23;13;29;33;39;30;41;38;47;51;46;88;85;44;89;
0417000;"Powiat wąbrzeski";30;32;39;59;46;58;50;70;65;50;56;74;61;106;94;
0418000;"Powiat włocławski";0;0;42;36;42;68;52;45;60;61;61;62;119;96;96;
0419000;"Powiat żniński";95;78;69;78;128;112;87;123;136;128;152;216;162;107;176;
0461000;"Powiat m. Bydgoszcz";1595;2206;2479;2716;2498;2677;2624;3075;3484;3251;2845;3729;3492;3857;4328;
0462000;"Powiat m. Grudziądz";295;281;307;364;370;448;425;447;626;626;652;847;712;854;841;
0463000;"Powiat m. Toruń";585;640;640;652;647;648;757;1430;1596;1651;1418;1655;1245;1434;1961;
0464000;"Powiat m. Włocławek";349;452;383;472;462;466;361;659;756;700;514;503;470;523;585;
0600000;"LUBELSKIE";2950;3106;3239;3388;2964;4441;4996;5903;7110;7410;7860;8774;7300;8990;9554;
0601000;"Powiat bialski";0;0;0;0;0;11;22;16;35;94;115;129;215;74;102;
0602000;"Powiat biłgorajski";55;65;54;49;59;37;50;81;78;128;202;117;107;203;146;
0603000;"Powiat chełmski";4;12;5;15;15;20;17;27;26;29;21;45;41;32;58;
0604000;"Powiat hrubieszowski";65;69;58;59;60;76;85;88;73;87;87;81;72;66;70;
0605000;"Powiat janowski";3;17;11;17;29;24;16;17;23;41;17;26;50;25;52;
0606000;"Powiat krasnostawski";49;32;26;45;22;56;26;23;29;33;19;27;38;26;40;
0607000;"Powiat kraśnicki";66;86;81;85;82;69;104;116;89;70;104;162;120;137;137;
0608000;"Powiat lubartowski";44;72;66;58;58;85;92;84;98;115;122;111;112;112;161;
0609000;"Powiat lubelski";58;152;61;107;95;94;94;136;170;178;128;207;231;252;291;
0610000;"Powiat łęczyński";53;74;33;54;54;32;90;72;73;96;65;90;102;74;153;
0611000;"Powiat łukowski";33;50;53;47;54;51;55;72;81;105;80;150;191;240;298;
0612000;"Powiat opolski";66;40;61;42;44;64;54;67;74;62;50;64;67;46;76;
0613000;"Powiat parczewski";0;7;38;13;15;49;23;78;39;19;81;29;62;50;70;
0614000;"Powiat puławski";147;175;206;207;226;272;293;339;244;438;438;410;331;254;436;
0615000;"Powiat radzyński";0;13;27;30;43;106;77;81;116;98;43;64;156;40;55;
0616000;"Powiat rycki";76;113;46;59;63;66;74;77;80;72;69;125;102;69;94;
0617000;"Powiat świdnicki";49;76;99;27;67;64;85;142;150;253;226;288;288;442;301;
0618000;"Powiat tomaszowski";86;52;76;47;52;74;57;68;75;76;84;67;115;72;71;
0619000;"Powiat włodawski";83;42;45;48;84;65;51;65;119;72;89;68;67;70;95;
0620000;"Powiat zamojski";10;24;17;15;12;14;17;20;22;10;16;24;17;19;19;
0661000;"Powiat m. Biała Podlaska";97;85;76;95;109;118;160;178;207;278;476;487;435;353;280;
0662000;"Powiat m. Chełm";85;196;174;175;128;218;221;276;249;388;385;472;295;344;356;
0663000;"Powiat m. Lublin";1639;1332;1766;1828;1331;2466;2987;3487;4630;4343;4680;5206;3835;5564;5644;
0664000;"Powiat m. Zamość";180;322;160;266;262;310;246;293;330;325;263;325;251;426;549;
0800000;"LUBUSKIE";3512;3749;4094;4028;3778;3936;4876;5216;6704;6408;6319;6933;6241;6025;7042;
0801000;"Powiat gorzowski";232;158;198;198;190;181;273;306;346;481;212;256;287;247;223;
0802000;"Powiat krośnieński";185;166;147;163;184;108;186;143;272;234;222;188;153;148;159;
0803000;"Powiat międzyrzecki";22;168;228;176;197;186;221;206;242;198;299;290;232;205;239;
0804000;"Powiat nowosolski";158;200;230;206;216;211;220;243;329;372;447;536;427;454;496;
0805000;"Powiat słubicki";118;164;160;188;243;270;283;293;270;362;278;299;362;247;476;
0806000;"Powiat strzelecko-drezdenecki";139;110;138;150;161;133;158;185;127;124;168;208;217;132;171;
0807000;"Powiat sulęciński";108;69;77;76;59;91;119;100;128;116;56;135;93;196;127;
0808000;"Powiat świebodziński";145;151;190;202;204;231;276;293;276;349;233;423;342;287;358;
0809000;"Powiat zielonogórski";223;229;181;201;147;145;179;166;268;244;322;279;249;251;345;
0810000;"Powiat żagański";286;217;252;215;191;94;265;317;327;395;334;409;345;352;332;
0811000;"Powiat żarski";167;188;245;396;305;379;399;525;446;416;414;480;436;478;479;
0812000;"Powiat wschowski";55;30;45;40;41;47;54;51;82;80;106;108;129;105;110;
0861000;"Powiat m. Gorzów Wielkopolski";1013;1131;1144;1072;1041;1081;1285;1221;1725;1346;1216;1452;1303;1187;1738;
0862000;"Powiat m. Zielona Góra";661;768;859;745;599;779;958;1167;1866;1691;2012;1870;1666;1736;1789;
1000000;"ŁÓDZKIE";3852;4363;4441;6859;6287;7207;7861;8236;10255;10809;11232;13501;11029;12861;14149;
1001000;"Powiat bełchatowski";246;225;256;204;271;311;297;325;343;320;279;415;347;331;371;
1002000;"Powiat kutnowski";46;126;47;139;116;24;64;161;238;211;197;360;307;423;324;
1003000;"Powiat łaski";39;47;101;54;47;59;62;60;74;110;53;72;54;67;59;
1004000;"Powiat łęczycki";29;50;38;38;28;37;47;39;57;62;47;60;56;68;87;
1005000;"Powiat łowicki";66;54;46;67;60;70;83;88;95;80;58;71;65;104;75;
1006000;"Powiat łódzki wschodni";39;51;20;32;40;39;21;43;37;67;47;87;62;75;124;
1007000;"Powiat opoczyński";51;55;45;62;49;53;46;68;82;82;64;102;141;85;116;
1008000;"Powiat pabianicki";21;55;212;196;192;199;265;264;293;277;393;436;377;585;473;
1009000;"Powiat pajęczański";6;5;51;20;14;24;8;5;11;19;9;19;59;11;12;
1010000;"Powiat piotrkowski";8;5;5;8;11;9;12;21;28;17;28;36;43;28;30;
1011000;"Powiat poddębicki";40;17;18;65;41;91;34;84;57;35;29;98;36;61;38;
1012000;"Powiat radomszczański";20;37;51;51;61;62;76;130;148;121;101;166;213;180;301;
1013000;"Powiat rawski";48;29;33;30;30;49;70;54;37;63;37;68;123;52;154;
1014000;"Powiat sieradzki";201;158;184;153;149;152;156;166;161;235;147;256;147;224;183;
1015000;"Powiat skierniewicki";4;0;0;0;0;7;0;5;0;11;6;3;0;6;4;
1016000;"Powiat tomaszowski";189;220;136;134;142;194;235;264;278;272;295;402;309;304;395;
1017000;"Powiat wieluński";34;34;35;44;44;29;36;30;105;86;119;50;84;105;119;
1018000;"Powiat wieruszowski";32;7;4;17;23;59;65;31;112;59;64;102;65;84;53;
1019000;"Powiat zduńskowolski";101;77;114;91;103;88;74;163;136;178;126;133;157;207;163;
1020000;"Powiat zgierski";309;229;234;365;312;341;333;446;402;452;492;488;360;438;498;
1021000;"Powiat brzeziński";30;45;39;23;32;36;75;35;53;64;66;65;52;51;76;
1061000;"Powiat m. Łódź";2042;2467;2384;4727;4150;4830;5427;5323;7029;7313;8049;9291;7168;8629;9633;
