"Kod";"Nazwa";"ogółem;ogółem;2010;[m2]";"ogółem;ogółem;2011;[m2]";"ogółem;ogółem;2012;[m2]";"ogółem;ogółem;2013;[m2]";"ogółem;ogółem;2014;[m2]";"ogółem;ogółem;2015;[m2]";"ogółem;ogółem;2016;[m2]";"ogółem;ogółem;2017;[m2]";"ogółem;ogółem;2018;[m2]";"ogółem;ogółem;2019;[m2]";"ogółem;ogółem;2020;[m2]";"ogółem;ogółem;2021;[m2]";"ogółem;ogółem;2022;[m2]";"ogółem;ogółem;2023;[m2]";"ogółem;ogółem;2024;[m2]";
0000000;"POLSKA";5554022,8;5737047,5;6144958,1;7014130,2;7014569,3;8037164,9;8819256,5;9657008,2;11028415,9;11393256,0;10913143,3;13481831,1;12287301,9;13116079,5;13866118,4;
0200000;"DOLNOŚLĄSKIE";779886,9;766093,8;820648,0;978110,4;901802,5;1012338,2;1199123,5;1275032,7;1385338,2;1430900,9;1133930,8;1886647,0;1466348,7;1550153,7;1603387,5;
0201000;"Powiat bolesławiecki";8160,9;5761,7;7632,3;12165,4;5698,1;17243,0;30300,5;31540,9;32986,7;32833,4;24124,3;34325,8;29693,4;25801,0;33512,0;
0202000;"Powiat dzierżoniowski";14441,7;13371,5;11856,0;13384,4;12260,7;16093,8;15674,4;15991,9;20110,6;26197,2;25893,5;36252,2;27397,7;26707,0;31811,0;
0203000;"Powiat głogowski";18554,3;18642,8;20279,9;23878,6;22241,7;20392,2;26805,2;27697,4;31600,6;27413,1;26431,6;41270,5;26636,5;29382,0;26208,0;
0204000;"Powiat górowski";624,3;297,0;409,9;0,0;178,4;754,4;380,1;478,8;1907,5;3101,2;4411,8;5320,1;4082,0;4466,0;5561,0;
0205000;"Powiat jaworski";3252,5;5263,4;4997,5;4763,9;3939,6;5243,6;6931,3;7998,7;7998,0;7481,3;9202,5;11114,4;9823,7;12630,0;11070,4;
0206000;"Powiat karkonoski";12936,2;9823,8;9713,3;11328,3;13987,4;18197,7;9504,1;11061,0;11358,6;11020,9;24102,3;28202,1;32748,7;27907,0;24858,5;
0207000;"Powiat kamiennogórski";3654,0;3839,5;4419,3;4477,0;4887,2;6237,9;5932,7;6928,0;7718,2;8221,5;7182,5;7531,8;7340,8;8952,0;9991,2;
0208000;"Powiat kłodzki";22608,5;21942,4;21201,6;23382,6;23999,7;24436,3;22871,7;29951,8;36202,5;42749,1;41294,6;48817,7;41543,9;35122,0;36785,6;
0209000;"Powiat legnicki";3788,0;3170,1;4445,0;3491,6;3776,9;5472,1;5405,1;5349,4;6573,6;5688,5;6736,1;12078,2;11672,3;13716,0;14168,0;
0210000;"Powiat lubański";6743,7;6893,9;6703,0;6791,1;9163,2;8081,2;9311,8;14770,5;13043,5;15686,2;12226,4;15782,8;23031,2;13910,0;14606,0;
0211000;"Powiat lubiński";23301,3;22087,3;28667,6;29130,0;28013,3;24451,1;31981,1;33857,2;40306,4;45048,9;43707,4;51901,0;38358,1;48618,0;38982,0;
0212000;"Powiat lwówecki";4651,9;4455,2;4313,7;3557,5;3743,8;2231,3;3863,8;5753,7;6935,6;7938,0;7986,0;7947,3;4913,5;5108,0;6820,0;
